time	 veloc	 accel 
 1.37000 	  1.13940 	 -0.07160 	 
 1.38000 	  1.13817 	 -0.17768 	 
 1.39000 	  1.13578 	 -0.30449 	 
 1.40000 	  1.13204 	 -0.44388 	 
 1.41000 	  1.12690 	 -0.58297 	 
 1.42000 	  1.12043 	 -0.70695 	 
 1.43000 	  1.11286 	 -0.80275 	 
 1.44000 	  1.10450 	 -0.86226 	 
 1.45000 	  1.09574 	 -0.88407 	 
 1.46000 	  1.08693 	 -0.87322 	 
 1.47000 	  1.07835 	 -0.83901 	 
 1.48000 	  1.07019 	 -0.79174 	 
 1.49000 	  1.06253 	 -0.73961 	 
 1.50000 	  1.05540 	 -0.68660 	 
 1.51000 	  1.04880 	 -0.63226 	 
 1.52000 	  1.04277 	 -0.57309 	 
 1.53000 	  1.03737 	 -0.50485 	 
 1.54000 	  1.03271 	 -0.42489 	 
 1.55000 	  1.02891 	 -0.33347 	 
 1.56000 	  1.02607 	 -0.23369 	 
 1.57000 	  1.02425 	 -0.13016 	 
 1.58000 	  1.02347 	 -0.02710 	 
 1.59000 	  1.02370 	  0.07336 	 
 1.60000 	  1.02493 	  0.17174 	 
 1.61000 	  1.02714 	  0.27070 	 
 1.62000 	  1.03035 	  0.37350 	 
 1.63000 	  1.03463 	  0.48226 	 
 1.64000 	  1.04002 	  0.59686 	 
 1.65000 	  1.04658 	  0.71475 	 
 1.66000 	  1.05431 	  0.83204 	 
 1.67000 	  1.06320 	  0.94509 	 
 1.68000 	  1.07319 	  1.05203 	 
 1.69000 	  1.08422 	  1.15346 	 
 1.70000 	  1.09625 	  1.25203 	 
 1.71000 	  1.10927 	  1.35098 	 
 1.72000 	  1.12328 	  1.45246 	 
 1.73000 	  1.13832 	  1.55618 	 
 1.74000 	  1.15440 	  1.65926 	 
 1.75000 	  1.17149 	  1.75714 	 
 1.76000 	  1.18951 	  1.84548 	 
 1.77000 	  1.20836 	  1.92194 	 
 1.78000 	  1.22791 	  1.98720 	 
 1.79000 	  1.24808 	  2.04457 	 
 1.80000 	  1.26879 	  2.09834 	 
 1.81000 	  1.29004 	  2.15131 	 
 1.82000 	  1.31182 	  2.20266 	 
 1.83000 	  1.33407 	  2.24701 	 
 1.84000 	  1.35670 	  2.27525 	 
 1.85000 	  1.37949 	  2.27701 	 
 1.86000 	  1.40213 	  2.24396 	 
 1.87000 	  1.42424 	  2.17287 	 
 1.88000 	  1.44547 	  2.06724 	 
 1.89000 	  1.46550 	  1.93696 	 
 1.90000 	  1.48417 	  1.79600 	 
 1.91000 	  1.50144 	  1.65895 	 
 1.92000 	  1.51740 	  1.53750 	 
 1.93000 	  1.53226 	  1.43803 	 
 1.94000 	  1.54624 	  1.36090 	 
 1.95000 	  1.55954 	  1.30162 	 
 1.96000 	  1.57231 	  1.25325 	 
 1.97000 	  1.58462 	  1.20902 	 
 1.98000 	  1.59649 	  1.16443 	 
 1.99000 	  1.60790 	  1.11798 	 
 2.00000 	  1.61884 	  1.07074 	 
 2.01000 	  1.62932 	  1.02501 	 
 2.02000 	  1.63936 	  0.98282 	 
 2.03000 	  1.64899 	  0.94489 	 
 2.04000 	  1.65826 	  0.91046 	 
 2.05000 	  1.66721 	  0.87782 	 
 2.06000 	  1.67582 	  0.84521 	 
 2.07000 	  1.68411 	  0.81164 	 
 2.08000 	  1.69205 	  0.77719 	 
 2.09000 	  1.69965 	  0.74273 	 
 2.10000 	  1.70691 	  0.70928 	 
 2.11000 	  1.71384 	  0.67732 	 
 2.12000 	  1.72046 	  0.64654 	 
 2.13000 	  1.72677 	  0.61595 	 
 2.14000 	  1.73278 	  0.58448 	 
 2.15000 	  1.73846 	  0.55155 	 
 2.16000 	  1.74380 	  0.51742 	 
 2.17000 	  1.74880 	  0.48299 	 
 2.18000 	  1.75346 	  0.44925 	 
 2.19000 	  1.75779 	  0.41658 	 
 2.20000 	  1.76180 	  0.38431 	 
 2.21000 	  1.76548 	  0.35084 	 
 2.22000 	  1.76880 	  0.31435 	 
 2.23000 	  1.77175 	  0.27367 	 
 2.24000 	  1.77426 	  0.22907 	 
 2.25000 	  1.77632 	  0.18224 	 
 2.26000 	  1.77791 	  0.13553 	 
 2.27000 	  1.77904 	  0.09054 	 
 2.28000 	  1.77972 	  0.04669 	 
 2.29000 	  1.77996 	  0.00036 	 
 2.30000 	  1.77970 	 -0.05468 	 
 2.31000 	  1.77882 	 -0.12560 	 
 2.32000 	  1.77712 	 -0.21792 	 
 2.33000 	  1.77438 	 -0.33298 	 
 2.34000 	  1.77040 	 -0.46630 	 
 2.35000 	  1.76503 	 -0.60762 	 
 2.36000 	  1.75827 	 -0.74291 	 
 2.37000 	  1.75024 	 -0.85761 	 
 2.38000 	  1.74122 	 -0.94025 	 
 2.39000 	  1.73156 	 -0.98522 	 
 2.40000 	  1.72164 	 -0.99376 	 
 2.41000 	  1.71178 	 -0.97291 	 
 2.42000 	  1.70224 	 -0.93277 	 
 2.43000 	  1.69316 	 -0.88315 	 
 2.44000 	  1.68459 	 -0.83076 	 
 2.45000 	  1.67655 	 -0.77781 	 
 2.46000 	  1.66904 	 -0.72241 	 
 2.47000 	  1.66212 	 -0.66047 	 
 2.48000 	  1.65587 	 -0.58814 	 
 2.49000 	  1.65040 	 -0.50381 	 
 2.50000 	  1.64583 	 -0.40894 	 
 2.51000 	  1.64224 	 -0.30742 	 
 2.52000 	  1.63969 	 -0.20393 	 
 2.53000 	  1.63816 	 -0.10205 	 
 2.54000 	  1.63763 	 -0.00288 	 
 2.55000 	  1.63810 	  0.09507 	 
 2.56000 	  1.63954 	  0.19489 	 
 2.57000 	  1.64201 	  0.29960 	 
 2.58000 	  1.64556 	  0.41053 	 
 2.59000 	  1.65024 	  0.52655 	 
 2.60000 	  1.65609 	  0.64445 	 
 2.61000 	  1.66312 	  0.76020 	 
 2.62000 	  1.67128 	  0.87072 	 
 2.63000 	  1.68051 	  0.97507 	 
 2.64000 	  1.69076 	  1.07476 	 
 2.65000 	  1.70200 	  1.17287 	 
 2.66000 	  1.71423 	  1.27243 	 
 2.67000 	  1.72746 	  1.37473 	 
 2.68000 	  1.74173 	  1.47844 	 
 2.69000 	  1.75702 	  1.57985 	 
 2.70000 	  1.77330 	  1.67424 	 
 2.71000 	  1.79047 	  1.75787 	 
 2.72000 	  1.80842 	  1.82951 	 
 2.73000 	  1.82703 	  1.89099 	 
 2.74000 	  1.84622 	  1.94627 	 
